Year,Commercial,Recreational
1892,0.003297026,0
1893,0.003297026,0
1894,0.003297026,0
1895,0.000849161,0
1896,0.000202672,0
1897,0.000209457,0
1898,1.17E-04,0
1899,0.0001991,0
1900,0.000281581,0
1901,0.000360107,0
1902,0.000442587,0
1903,0.000525067,0
1904,0.000607545,0
1905,0.000686072,0
1906,0.000768552,0
1907,0.000851032,0
1908,0.000929558,0
1909,0.001012038,0
1910,0.001094518,0
1911,0.001176997,0
1912,0.001255523,0
1913,0.001338003,0
1914,0.001420483,0
1915,0.001502963,0
1916,0.00158149,0
1917,0.001663968,0
1918,0.001746448,0
1919,0.001824974,0
1920,0.001907454,0
1921,0.001989935,0
1922,0.002072413,0
1923,0.002150941,0
1924,0.002233419,0
1925,0.002315899,0
1926,0.002394426,0
1927,0.001789352,0
1928,0.002986097,0
1929,0.640229849,0
1930,1.149305853,0
1931,0.551045559,0
1932,0.001191022,0
1933,0.111450961,0
1934,0.172010854,0
1935,0.001900189,0
1936,0.651235006,0
1937,2.131819489,0
1938,2.49345734,0
1939,3.011799244,0
1940,3.57997937,0
1941,2.396644261,0
1942,2.886875492,0
1943,3.273266544,0
1944,4.522619023,0
1945,5.098400389,0
1946,5.507706022,0
1947,1.815908905,0
1948,3.713104631,0
1949,3.968090584,0
1950,1.434642595,0
1951,1.286353511,0
1952,2.560530385,0
1953,0.86736735,0
1954,0.572474977,0
1955,1.645910701,0
1956,0.805953691,0
1957,1.723241597,0
1958,0.169119891,0
1959,0.543305895,0
1960,0.692771132,0
1961,1.297243128,0
1962,0.718379166,0
1963,1.247081744,0
1964,0.711909807,0
1965,3.601259709,0
1966,2.262898958,0
1967,6.454966222,0
1968,6.140262302,0
1969,11.97106364,0
1970,5.61460122,0
1971,12.72017653,0
1972,16.463139,0
1973,17.87856402,0
1974,22.84483474,0
1975,11.82225574,0
1976,15.81063795,0
1977,22.20978219,0
1978,23.29143247,0
1979,15.26457202,0.585631187
1980,16.17437043,0.945312692
1981,8.662722763,3.290348532
1982,9.78762135,4.000241682
1983,11.95724621,1.679917362
1984,11.0943958,3.016218846
1985,16.90598865,1.26387534
1986,20.56432078,6.309578822
1987,19.07861396,0.239241178
1988,20.03396774,2.500129099
1989,19.76930185,12.39846514
1990,21.55091992,10.30114785
1991,7.136175533,4.678717487
1992,8.522773038,10.00202424
1993,27.54806238,25.76563693
1994,8.060334542,9.225638212
1995,3.536883434,4.475238497
1996,10.72688685,4.657929757
1997,9.009932896,8.008930347
1998,9.331558518,12.67789602
1999,2.851080703,3.118859067
2000,5.916235825,5.138676641
2001,9.516750764,6.413356424
2002,4.116969251,6.35628087
2003,4.360729344,8.337579322
2004,3.494885565,6.930029085
2005,3.321677174,12.02149406
2006,4.798308438,10.74959225
2007,4.074558958,13.58253466
2008,7.900601528,11.21367153
2009,8.078368035,7.895776903
2010,3.248747325,9.467953517
2011,5.853016744,12.09190774
2012,5.528201465,18.13299316
2013,6.784061393,12.4947225
2014,4.51431802,7.825128835
2015,2.90451051,9.220545126
2016,4.000440035,7.311528586
2017,6.465389662,17.435079
2018,6.115802016,18.23136448
2019,7.649508814,18.33639532
2020,6.042673988,16.32634921
