Year,Commercial,Recreational
1993,27.54806238,25.76563693
1994,8.060334542,9.225638212
1995,3.536883434,4.475238497
1996,10.72688685,4.657929757
1997,9.009932896,8.008930347
1998,9.331558518,12.67789602
1999,2.851080703,3.118859067
2000,5.916235825,5.138676641
2001,9.516750764,6.413356424
2002,4.116969251,6.35628087
2003,4.360729344,8.337579322
2004,3.494885565,6.930029085
2005,3.321677174,12.02149406
2006,4.798308438,10.74959225
2007,4.074558958,13.58253466
2008,7.900601528,11.21367153
2009,8.078368035,7.895776903
2010,3.248747325,9.467953517
2011,5.853016744,12.09190774
2012,5.528201465,18.13299316
2013,6.784061393,12.4947225
2014,4.51431802,7.825128835
2015,2.90451051,9.220545126
2016,4.000440035,7.311528586
2017,6.465389662,17.435079
2018,6.115802016,18.23136448
2019,7.649508814,18.33639532
2020,6.042673988,16.32634921
