Age,Mean_age_1,SD_1,Mean_age_2,SD_2
0,0.5,0.0232359,0.5,0.130439
1,1.5,0.0232359,1.5,0.130439
2,2.5,0.0464718,2.5,0.243323
3,3.5,0.0697077,3.5,0.340405
4,4.5,0.0929437,4.5,0.423286
5,5.5,0.11618,5.5,0.493422
6,6.5,0.139415,6.5,0.552138
7,7.5,0.162651,7.5,0.60064
8,8.5,0.185887,8.5,0.640023
9,9.5,0.209123,9.5,0.671281
10,10.5,0.232359,10.5,0.695317
11,11.5,0.255595,11.5,0.712949
12,12.5,0.278831,12.5,0.72492
13,13.5,0.302067,13.5,0.731899
14,14.5,0.325303,14.5,0.734494
15,15.5,0.348539,15.5,0.733252
16,16.5,0.371775,16.5,0.728667
17,17.5,0.395011,17.5,0.721187
18,18.5,0.418246,18.5,0.71121
19,19.5,0.441482,19.5,0.699099
20,20.5,0.464718,20.5,0.685175
21,21.5,0.487954,21.5,0.66973
22,22.5,0.51119,22.5,0.653021
23,23.5,0.534426,23.5,0.635282
24,24.5,0.557662,24.5,0.616717
25,25.5,0.580898,25.5,0.59751
26,26.5,0.604134,26.5,0.577824
27,27.5,0.62737,27.5,0.557803
28,28.5,0.650606,28.5,0.537572
29,29.5,0.673841,29.5,0.517244
30,30.5,0.697077,30.5,0.496915
31,31.5,0.720313,31.5,0.476671
32,32.5,0.743549,32.5,0.456584
33,33.5,0.766785,33.5,0.436719
34,34.5,0.790021,34.5,0.41713
35,35.5,0.813257,35.5,0.397862
36,36.5,0.836493,36.5,0.378954
37,37.5,0.859729,37.5,0.360439
38,38.5,0.882965,38.5,0.342342
39,39.5,0.906201,39.5,0.324684
40,40.5,0.928,40.5,0.307482
41,41.5,0.9512,41.5,0.290747
42,42.5,0.9744,42.5,0.274489
43,43.5,0.9976,43.5,0.258712
44,44.5,1.0208,44.5,0.24342
45,45.5,1.044,45.5,0.228612
46,46.5,1.0672,46.5,0.214285
47,47.5,1.0904,47.5,0.200437
48,48.5,1.1136,48.5,0.187061
49,49.5,1.1368,49.5,0.17415
50,50.5,1.16,50.5,0.161697
51,51.5,1.1832,51.5,0.149691
52,52.5,1.2064,52.5,0.138124
53,53.5,1.2296,53.5,0.126984
54,54.5,1.2528,54.5,0.116261
55,55.5,1.276,55.5,0.105942
56,56.5,1.2992,56.5,0.0960167
57,57.5,1.3224,57.5,0.0864719
58,58.5,1.3456,58.5,0.0772957
59,59.5,1.3688,59.5,0.0684759
60,60.5,1.392,60.5,0.0600002
