"Years","Fishery1","Fishery2","Total Catch"
1984,"0.00","0.00","0.00"
1985,"12.15","6.01","18.17"
1986,"16.27","7.28","23.55"
1987,"20.82","160.63","181.45"
1988,"53.92","15.96","69.88"
1989,"9.73","10.44","20.18"
1990,"10.59","12.21","22.80"
1991,"11.67","61.94","73.61"
1992,"23.99","24.67","48.66"
1993,"12.71","27.80","40.51"
1994,"11.34","51.81","63.15"
1995,"11.17","65.42","76.59"
1996,"9.94","48.03","57.97"
1997,"11.99","79.85","91.84"
1998,"11.82","50.16","61.98"
1999,"8.90","59.11","68.01"
2000,"7.76","70.29","78.04"
2001,"8.48","50.22","58.70"
2002,"9.39","90.09","99.47"
2003,"8.23","98.77","107.00"
2004,"11.93","80.44","92.37"
2005,"8.76","82.78","91.54"
2006,"7.76","96.65","104.41"
2007,"8.11","97.03","105.14"
2008,"9.64","141.51","151.15"
2009,"4.45","86.47","90.92"
2010,"4.58","110.95","115.53"
2011,"3.38","141.36","144.74"
2012,"10.15","138.81","148.95"
2013,"5.52","147.78","153.30"
2014,"5.23","169.96","175.18"
2015,"5.07","189.62","194.69"
2016,"7.90","160.56","168.46"
2017,"5.54","187.29","192.83"
2018,"7.60","211.15","218.75"
