"","Estimate","95% Asymptotic Interval"
"Unfished Spawning Biomass (mt)","NA","NA–NA"
"Unfished Age 3+ Biomass (mt)","NA","NA–NA"
"Unfished Recruitment (R0)","NA","NA–NA"
"Spawning Biomass (mt) (2019)","173","151–196"
"Depletion (2019)","21.74","19.59–23.89"
"Reference Points Based SB40%","",""
"Proxy Spawning Biomass (mt)(SB40%)","319","309–328"
"SPR resulting in SB40%","0.464","0.464–0.464"
"Exploitation Rate Resulting in SB40%","  NA","  NA–  NA"
"Yield with SPR Based On SB40% (mt)","NA","NA–NA"
"Reference Points based on SPR proxy for MSY","",""
"Proxy Spawning Biomass (mt) (SPR50)","351","340–361"
"SPR50","50.000"," NA "
"Exploitation rate corresponding to SPR50","  NA","  NA–  NA"
"Yield with SPR50 at SB SPR (mt)","NA","NA–NA"
"Reference points based on estimated MSY values","",""
"Spawning Biomass (mt) at MSY (SB MSY)","211","205–218"
"SPR MSY","0.344","0.344–0.344"
"Exploitation rate corresponding to SPR MSY","  NA","  NA–  NA"
"MSY (mt)","NA","NA–NA"
