"Years","OFL","ABC","ACL","Landings"
2007,"fill_in","fill_in","fill_in","105.14"
2008,"fill_in","fill_in","fill_in","151.15"
2009,"fill_in","fill_in","fill_in","90.92"
2010,"fill_in","fill_in","fill_in","115.53"
2011,"fill_in","fill_in","fill_in","144.74"
2012,"fill_in","fill_in","fill_in","148.95"
2013,"fill_in","fill_in","fill_in","153.30"
2014,"fill_in","fill_in","fill_in","175.18"
2015,"fill_in","fill_in","fill_in","194.69"
2016,"fill_in","fill_in","fill_in","168.46"
2017,"fill_in","fill_in","fill_in","192.83"
2018,"fill_in","fill_in","fill_in","218.75"
